time,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,willRain
2017-09-15,15.9,10.0,20.6,0.0,0.0,313.1,24.1,1012.6,0.0
2017-09-17,15.4,10.0,26.1,0.0,0.0,148.0,14.8,1012.9,0.0
2017-09-24,9.9,2.2,19.4,0.0,0.0,308.8,12.6,1016.4,0.0
2017-09-30,17.2,10.0,19.4,0.8,0.0,282.3,16.6,1012.9,1.0
2017-10-01,10.9,4.4,16.1,0.0,0.0,277.5,12.2,1015.1,0.0
2017-10-02,7.2,1.1,15.6,0.0,0.0,282.1,7.6,1015.6,0.0
2017-10-10,11.4,5.0,20.6,0.0,0.0,150.3,22.0,1015.4,0.0
2017-10-20,12.4,3.9,17.2,5.3,0.0,276.0,19.1,1006.2,1.0
2017-11-05,3.1,0.0,7.2,3.6,0.0,128.8,16.2,1014.1,1.0
2017-11-08,3.2,-1.0,9.4,0.0,0.0,119.2,19.4,1020.3,0.0
2017-11-15,5.3,1.7,10.0,3.3,0.0,110.4,21.6,1013.5,1.0
2017-11-18,2.3,-1.0,8.3,0.0,0.0,137.8,16.9,1029.1,0.0
2017-11-19,2.8,-2.1,9.4,0.0,0.0,98.4,10.8,1021.2,0.0
2017-11-20,6.7,3.3,9.4,2.5,0.0,114.5,19.1,1015.0,1.0
2017-11-24,11.6,3.9,12.8,6.6,0.0,279.6,10.4,1018.5,1.0
2017-11-27,10.5,-0.5,15.6,0.0,0.0,298.9,18.7,1013.4,0.0
2017-11-28,2.9,-2.1,9.4,0.0,0.0,149.8,17.3,1022.5,0.0
2017-12-15,-2.9,-3.2,-1.6,1.3,0.0,144.5,11.9,1027.8,1.0
2017-12-19,2.9,-1.6,11.1,0.0,0.0,128.7,19.8,1014.4,0.0
2018-01-23,1.5,-1.6,6.1,0.0,0.0,135.8,16.2,1025.7,0.0
2018-01-24,5.9,4.4,9.4,0.0,0.0,143.3,21.6,1014.2,0.0
2018-01-27,2.5,1.1,5.0,0.5,0.0,125.3,18.0,1026.7,1.0
2018-01-30,10.0,2.8,15.0,0.0,0.0,106.9,19.8,1016.8,0.0
2018-02-07,6.4,0.6,14.4,0.0,0.0,112.4,11.2,1029.8,0.0
2018-02-12,1.2,-3.8,7.8,0.0,0.0,292.0,12.6,1014.6,0.0
2018-02-17,3.2,-0.5,11.7,0.0,0.0,130.4,19.8,1015.2,0.0
2018-02-25,-3.5,-10.5,2.2,0.3,100.0,131.6,17.6,1020.2,1.0
2018-02-26,0.9,-5.5,3.9,0.0,80.0,298.5,19.8,1014.0,0.0
2018-02-28,-2.1,-4.9,3.9,0.0,50.0,130.8,22.0,1019.1,0.0
2018-03-01,2.9,0.0,8.3,2.3,30.0,125.0,33.1,1008.5,1.0
2018-03-06,2.9,-2.1,10.6,0.0,0.0,127.1,18.4,1027.1,0.0
2018-03-07,3.4,-3.2,13.3,0.0,0.0,137.5,12.2,1022.5,0.0
2018-03-12,8.7,2.8,17.2,0.0,0.0,138.1,14.4,1022.5,0.0
2018-03-13,10.7,3.3,20.6,2.5,0.0,147.7,28.4,1012.5,1.0
2018-03-14,10.6,3.3,12.8,13.7,0.0,107.9,10.8,1007.5,1.0
2018-03-16,5.1,2.2,9.4,0.3,0.0,125.6,21.2,1007.9,1.0
2018-03-19,5.2,0.6,11.7,0.0,0.0,130.8,11.2,1021.3,0.0
2018-03-21,9.9,5.6,16.7,3.8,0.0,130.4,27.0,1010.2,1.0
2018-03-22,11.8,5.0,15.0,10.9,0.0,120.7,20.5,1005.6,1.0
2018-03-28,9.2,3.3,15.0,0.0,0.0,289.7,16.9,1022.3,0.0
2018-04-02,8.2,-1.0,12.8,0.8,0.0,319.8,27.4,1011.0,1.0
2018-04-03,3.7,-1.6,11.7,0.0,0.0,142.9,17.6,1020.4,0.0
2018-04-07,12.7,10.0,18.3,7.1,0.0,127.7,23.0,1004.2,1.0
